engName1,engName2,rusName1,rusName2,name,numberCode,group.id,unit_type_id
"gal (US)",GLL,NULL,NULL,"Жидкостный галлон США (3,78541 дм3)",145,3,3
"barrel (US)",BLL,NULL,NULL,"Баррель (нефтяной) США (158,987 дм3)",146,3,3
"dry pt (US)",PTD,NULL,NULL,"Сухая пинта США (0,55061 дм3)",147,3,3
"dry qt (US)",QTD,NULL,NULL,"Сухая кварта США (1,101221 дм3)",148,3,3
"dry gal (US)",GLD,NULL,NULL,"Сухой галлон США (4,404884 дм3)",149,3,3
"bu (US)",BUA,NULL,NULL,"Бушель США (35,2391 дм3)",150,3,3
"bbl (US)",BLD,NULL,NULL,"Сухой баррель США (115,627 дм3)",151,3,3
-,WSD,NULL,NULL,Стандарт,152,3,3
-,WCD,NULL,NULL,"Корд (3,63 м3)",153,3,3
-,MBF,NULL,NULL,"Тысячи бордфутов (2,36 м3)",154,3,3
-,NTT,NULL,NULL,"Нетто-регистровая тонна",182,4,3
-,SHT,NULL,NULL,"Обмерная (фрахтовая) тонна",183,4,3
-,DPT,NULL,NULL,Водоизмещение,184,4,3
lb,LBR,NULL,NULL,"Фунт СК, США (0,45359237 кг)",186,4,3
oz,ONZ,NULL,NULL,"Унция СК, США (28,349523 г)",187,4,3
dr,DRI,NULL,NULL,"Драхма СК (1,771745 г)",188,4,3
gn,GRN,NULL,NULL,"Гран СК, США (64,798910 мг)",189,4,3
st,STI,NULL,NULL,"Стоун СК (6,350293 кг)",190,4,3
qtr,QTR,NULL,NULL,"Квартер СК (12,700586 кг)",191,4,3
-,CNT,NULL,NULL,"Центал СК (45,359237 кг)",192,4,3
cwt,CWA,NULL,NULL,"Центнер США (45,3592 кг)",193,4,3
"cwt (UK)",CWI,NULL,NULL,"Длинный центнер СК (50,802345 кг)",194,4,3
sht,STN,NULL,NULL,"Короткая тонна СК, США (0,90718474 т) [2*]",195,4,3
lt,LTN,NULL,NULL,"Длинная тонна СК, США (1,0160469 т) [2*]",196,4,3
scr,SCR,NULL,NULL,"Скрупул СК, США (1,295982 г)",197,4,3
dwt,DWT,NULL,NULL,"Пеннивейт СК, США (1,555174 г)",198,4,3
drm,DRM,NULL,NULL,"Драхма СК (3,887935 г)",199,4,3
-,DRA,NULL,NULL,"Драхма США (3,887935 г)",200,4,3
apoz,APZ,NULL,NULL,"Унция СК, США (31,10348 г, 1); тройская унция",201,4,3
-,LBT,NULL,NULL,"Тройский фунт США (373,242 г)",202,4,3
B.h.p.,BHP,NULL,NULL,"Эффективная мощность (245,7 ватт)",213,5,3
Btu,BTU,NULL,NULL,"Британская тепловая единица (1,055 кДж)",275,5,3
"gr; 144",GRO,NULL,NULL,"Гросс (144 шт.)",638,7,3
1728,GGR,NULL,NULL,"Большой гросс (12 гроссов)",731,7,3
-,SST,NULL,NULL,"Короткий стандарт (7200 единиц)",738,7,3
-,PGL,NULL,NULL,"Галлон спирта установленной крепости",835,7,3
-,NIU,NULL,NULL,"Международная единица",851,7,3
-,HIU,NULL,NULL,"Сто международных единиц",853,7,3
