82,1,NULL,NULL,NULL,NULL,"g fissile isotopes",GFI,"Грамм делящихся изотопов",306,"г Д/И","Г ДЕЛЯЩ ИЗОТОП",5,1
83,1,NULL,NULL,NULL,NULL,mbar,MBR,Миллибар,308,мб,МБАР,5,1
84,1,NULL,NULL,NULL,NULL,bar,BAR,Бар,309,бар,БАР,5,1
85,1,NULL,NULL,NULL,NULL,hbar,HBA,Гектобар,310,гб,ГБАР,5,1
86,1,NULL,NULL,NULL,NULL,kbar,KBA,Килобар,312,кб,КБАР,5,1
87,1,NULL,NULL,NULL,NULL,F,FAR,Фарад,314,Ф,Ф,5,1
88,1,NULL,NULL,NULL,NULL,kg/m3,KMQ,"Килограмм на кубический метр",316,кг/м3,КГ/М3,5,1
89,1,NULL,NULL,NULL,NULL,Bq,BQL,Беккерель,323,Бк,БК,5,1
90,1,NULL,NULL,NULL,NULL,Wb,WEB,Вебер,324,Вб,ВБ,5,1
91,1,NULL,NULL,NULL,NULL,kn,KNT,"Узел (миля/ч)",327,уз,УЗ,5,1
92,1,NULL,NULL,NULL,NULL,m/s,MTS,"Метр в секунду",328,м/с,М/С,5,1
93,1,NULL,NULL,NULL,NULL,r/s,RPS,"Оборот в секунду",330,об/с,ОБ/С,5,1
94,1,NULL,NULL,NULL,NULL,r/min,RPM,"Оборот в минуту",331,об/мин,ОБ/МИН,5,1
95,1,NULL,NULL,NULL,NULL,km/h,KMH,"Километр в час",333,км/ч,КМ/Ч,5,1
96,1,NULL,NULL,NULL,NULL,m/s2,MSK,"Метр на секунду в квадрате",335,м/с2,М/С2,5,1
97,1,NULL,NULL,NULL,NULL,C/kg,CKG,"Кулон на килограмм",349,Кл/кг,КЛ/КГ,5,1
98,1,NULL,NULL,NULL,NULL,s,SEC,Секунда,354,с,С,6,1
99,1,NULL,NULL,NULL,NULL,min,MIN,Минута,355,мин,МИН,6,1
100,1,NULL,NULL,NULL,NULL,h,HUR,Час,356,ч,Ч,6,1
101,1,NULL,NULL,NULL,NULL,d,DAY,Сутки,359,"сут; дн","СУТ; ДН",6,1
102,1,NULL,NULL,NULL,NULL,-,WEE,Неделя,360,нед,НЕД,6,1
103,1,NULL,NULL,NULL,NULL,-,DAD,Декада,361,дек,ДЕК,6,1
104,1,NULL,NULL,NULL,NULL,-,MON,Месяц,362,мес,МЕС,6,1
105,1,NULL,NULL,NULL,NULL,-,QAN,Квартал,364,кварт,КВАРТ,6,1
106,1,NULL,NULL,NULL,NULL,-,SAN,Полугодие,365,полгода,ПОЛГОД,6,1
107,1,NULL,NULL,NULL,NULL,a,ANN,Год,366,"г; лет","ГОД; ЛЕТ",6,1
108,1,NULL,NULL,NULL,NULL,-,DEC,Десятилетие,368,деслет,ДЕСЛЕТ,6,1
109,1,NULL,NULL,NULL,NULL,-,KGS,"Килограмм в секунду",499,кг/с,КГ/С,7,1
110,1,NULL,NULL,NULL,NULL,-,TSH,"Тонна пара в час",533,"т пар/ч","Т ПАР/Ч",7,1
111,1,NULL,NULL,NULL,NULL,m3/s,MQS,"Кубический метр в секунду",596,м3/с,М3/С,7,1
112,1,NULL,NULL,NULL,NULL,m3/h,MQH,"Кубический метр в час",598,м3/ч,М3/Ч,7,1
113,1,NULL,NULL,NULL,NULL,-,TQD,"Тысяча кубических метров в сутки",599,"10^3 м3/сут","ТЫС М3/СУТ",7,1
114,1,NULL,NULL,NULL,NULL,-,NBB,Бобина,616,боб,БОБ,7,1
115,1,NULL,NULL,NULL,NULL,-,LEF,Лист,625,л.,ЛИСТ,7,1
116,1,NULL,NULL,NULL,NULL,-,CLF,"Сто листов",626,"100 л.","100 ЛИСТ",7,1
117,1,NULL,NULL,NULL,NULL,-,MBE,"Тысяча стандартных условных кирпичей",630,"тыс станд. усл. кирп","ТЫС СТАНД УСЛ КИРП",7,1
118,1,NULL,NULL,NULL,NULL,"Doz; 12",DZN,"Дюжина (12 шт.)",641,дюжина,ДЮЖИНА,7,1
119,1,NULL,NULL,NULL,NULL,-,NAR,Изделие,657,изд,ИЗД,7,1
120,1,NULL,NULL,NULL,NULL,Hbx,HBX,"Сто ящиков",683,"100 ящ.","100 ЯЩ",7,1
121,1,NULL,NULL,NULL,NULL,-,SET,Набор,704,набор,НАБОР,7,1
122,1,NULL,NULL,NULL,NULL,"pr; 2",NPR,"Пара (2 шт.)",715,пар,ПАР,7,1
123,1,NULL,NULL,NULL,NULL,20,SCO,"Два десятка",730,20,"2 ДЕС",7,1
124,1,NULL,NULL,NULL,NULL,-,TPR,"Десять пар",732,"10 пар","ДЕС ПАР",7,1
125,1,NULL,NULL,NULL,NULL,-,DPR,"Дюжина пар",733,"дюжина пар","ДЮЖИНА ПАР",7,1
126,1,NULL,NULL,NULL,NULL,-,NPL,Посылка,734,посыл,ПОСЫЛ,7,1
127,1,NULL,NULL,NULL,NULL,-,NPT,Часть,735,часть,ЧАСТЬ,7,1
128,1,NULL,NULL,NULL,NULL,-,NPL,Рулон,736,рул,РУЛ,7,1
129,1,NULL,NULL,NULL,NULL,-,DRL,"Дюжина рулонов",737,"дюжина рул","ДЮЖИНА РУЛ",7,1
130,1,NULL,NULL,NULL,NULL,-,DPC,"Дюжина штук",740,"дюжина шт","ДЮЖИНА ШТ",7,1
131,1,NULL,NULL,NULL,NULL,CI,NCL,Элемент,745,элем,ЭЛЕМ,7,1
132,1,NULL,NULL,NULL,NULL,-,NMP,Упаковка,778,упак,УПАК,7,1
133,1,NULL,NULL,NULL,NULL,-,DZP,"Дюжина упаковок",780,"дюжина упак","ДЮЖИНА УПАК",7,1
134,1,NULL,NULL,NULL,NULL,-,CNP,"Сто упаковок",781,"100 упак","100 УПАК",7,1
135,1,NULL,NULL,NULL,NULL,"pc; 1","PCE; NMB",Штука,796,шт,ШТ,7,1
136,1,NULL,NULL,NULL,NULL,100,CEN,"Сто штук",797,"100 шт","100 ШТ",7,1
137,1,NULL,NULL,NULL,NULL,1000,MIL,"Тысяча штук",798,"тыс. шт; 1000 шт","ТЫС ШТ",7,1
138,1,NULL,NULL,NULL,NULL,10^6,MIO,"Миллион штук",799,"10^6 шт","МЛН ШТ",7,1
139,1,NULL,NULL,NULL,NULL,10^9,MLD,"Миллиард штук",800,"10^9 шт","МЛРД ШТ",7,1
140,1,NULL,NULL,NULL,NULL,10^12,BIL,"Биллион штук (Европа, 1); триллион штук",801,"10^12 шт","БИЛЛ ШТ (ЕВР, 1); ТРИЛЛ ШТ",7,1
141,1,NULL,NULL,NULL,NULL,10^18,TRL,"Квинтильон штук (Европа)",802,"10^18 шт","КВИНТ ШТ",7,1
142,1,NULL,NULL,NULL,NULL,"% mds",ASM,"Крепость спирта по массе",820,"креп. спирта по массе","КРЕП СПИРТ ПО МАССЕ",7,1
143,1,NULL,NULL,NULL,NULL,"% vol",ASV,"Крепость спирта по объему",821,"креп. спирта по объему","КРЕП СПИРТ ПО ОБЪЕМ",7,1
144,1,NULL,NULL,NULL,NULL,-,LPA,"Литр чистого (100%) спирта",831,"л 100% спирта","Л ЧИСТ СПИРТ",7,1
145,1,NULL,NULL,NULL,NULL,-,HPA,"Гектолитр чистого (100%) спирта",833,"Гл 100% спирта","ГЛ ЧИСТ СПИРТ",7,1
146,1,NULL,NULL,NULL,NULL,-,-,"Килограмм пероксида водорода",841,"кг H2О2","КГ ПЕРОКСИД ВОДОРОДА",7,1
147,1,NULL,NULL,NULL,NULL,-,KSD,"Килограмм 90%-го сухого вещества",845,"кг 90% с/в","КГ 90 ПРОЦ СУХ ВЕЩ",7,1
148,1,NULL,NULL,NULL,NULL,-,TSD,"Тонна 90%-го сухого вещества",847,"т 90% с/в","Т 90 ПРОЦ СУХ ВЕЩ",7,1
149,1,NULL,NULL,NULL,NULL,-,KPO,"Килограмм оксида калия",852,"кг К2О","КГ ОКСИД КАЛИЯ",7,1
150,1,NULL,NULL,NULL,NULL,-,KPH,"Килограмм гидроксида калия",859,"кг КОН","КГ ГИДРОКСИД КАЛИЯ",7,1
151,1,NULL,NULL,NULL,NULL,-,KNI,"Килограмм азота",861,"кг N","КГ АЗОТ",7,1
152,1,NULL,NULL,NULL,NULL,-,KSH,"Килограмм гидроксида натрия",863,"кг NaOH","КГ ГИДРОКСИД НАТРИЯ",7,1
153,1,NULL,NULL,NULL,NULL,-,KPP,"Килограмм пятиокиси фосфора",865,"кг Р2О5","КГ ПЯТИОКИСЬ ФОСФОРА",7,1
